"Row.names"	"Subject"	"Vendor"	"Time"	"Group"	"Muribaculaceae"	"Faecalibaculum"	"Bacteroides-acidifaciens"	"Akkermansia-muciniphila"	"Parasutterella"	"Bacteroides"	"Lachnospiraceae-NK4A136-group"	"Alloprevotella"	"Parabacteroides-goldsteinii"	"Lachnospiraceae"	"Desulfovibrionaceae"	"Lachnospiraceae-bacterium-28-4"	"Clostridia-UCG-014"	"Oscillospiraceae"	"Lachnospiraceae-bacterium-10-1"	"Rikenellaceae-RC9-gut-group"	"Bacteroides-caccae"	"Bacteroides-uniformis"	"Bacteroides-xylanisolvens"	"Parabacteroides-merdae"	"Acetate"	"Propionate"	"Butyrate"	"Iso-butyrate"	"Iso-valerate"	"Valerate"
"sample1"	"sample1"	"SC1"	"Shanghai"	0	"Control"	0.0001466505222	0.0007614546344	0.0001635717363	0.0001297293081	0.08379949261	0.1693362299	0.007721714033	0	0.173825992	0.02133765098	4.512323759e-05	0.01973577604	0.001364977937	0.006802328067	0	0	0	0	3.384242819e-05	0	4.39951647	1.076939448	0.512477753	0.106446959	0.101657465	0.107951924
"sample10"	"sample10"	"SR5"	"Shanghai"	0	"Resistant starch"	0.000899691362	0.05492560229	0	0.0001110730077	0.04650626831	0.2823586928	0.01487267573	0.0001332876092	0.1485268258	0.05594747396	0	0.1827595268	0.0007664037528	0.02278107387	0	0	0	0	0.0001110730077	0	11.9158883	1.413701404	1.783506366	0.146298178	0.078618492	0.141096284
"sample100"	"sample100"	"SI5"	"Shanghai"	19	"Inulin"	0.4681325744	0.1651877798	0.0002297865134	0.3865152772	0.165431928	0.1366942522	0.05603918595	0.0001005315996	0.02954192863	0.05012218323	0	0.0009478693677	0.004409028726	0.00330318113	0.001680313879	0.0001148932567	0	0.0001148932567	0	0	11.96629649	4.275834932	2.590949642	0.251829207	0.163435956	0.445845418
"sample101"	"sample101"	"SC1"	"Shanghai"	25	"Control"	0.1117396419	0.04897814492	0.000114765629	8.416146125e-05	0.04104401444	0.03861863415	0.006996877846	8.416146125e-05	0.02152620647	0.0147435578	3.060416773e-05	0.02346957112	0.0003481224079	0.006583721582	0.0006809427319	3.442968869e-05	0	0	0	0	3.184016871	0.843814839	0.593676381	0.101362111	0.090068044	0.140916798
"sample102"	"sample102"	"SC2"	"Shanghai"	25	"Control"	0.1260283575	0.03853517046	0	6.524473305e-05	0.01755083319	0.01000691093	0.002332499206	4.077795815e-05	0.01967944261	0.007038275577	5.708914142e-05	0.01706965328	0.002055209091	0.002927857395	0.0005382690476	0	0	0	0	0	5.216657404	1.817306783	1.38537277	0.229639352	0.172333511	0.130837331
"sample103"	"sample103"	"SC3"	"Shanghai"	25	"Control"	0.07382057154	0.05155522921	7.039629464e-05	0.0001206793622	0.008578291333	0.09839893499	0.003886881125	0.000105594442	0.04206178605	0.00754246014	0	0.01297303144	0.0009352650574	0.001287246531	0.0004877457557	3.519814732e-05	0	5.531137436e-05	2.011322704e-05	0	4.030872675	1.136777643	1.143812574	0.147974664	0.116097623	0.163277657
"sample104"	"sample104"	"SC4"	"Shanghai"	25	"Control"	0.1593116318	0.05585691608	7.024764868e-05	0.0001505306757	0.03772298734	0.1371936579	0.01720063855	7.024764868e-05	0.05285633794	0.04539001642	0.0001003537838	0.03564566402	0.0009332901896	0.01454126328	0.001113927	0	0	0	0	0	6.978550496	2.026252095	1.929198752	0.193546032	0.14851755	0.146557404
"sample105"	"sample105"	"SC5"	"Shanghai"	25	"Control"	0.08564759553	0.04712928475	0	0.0002357878965	0.01860838079	0.1119520933	0.03654712396	0.0001509042538	0.0685671203	0.06403056118	8.488364274e-05	0.1195727581	0.0001980618331	0.02260734352	0.001876871656	0	0	0	0	0	6.678017783	2.131414708	1.762227694	0.346927985	0.292884055	0.388412808
"sample106"	"sample106"	"SR1"	"Shanghai"	25	"Resistant starch"	0.1375779234	0.1320396427	0	0.0002637276486	0.05680034232	0.2081250694	0.02152676932	9.889786823e-05	0.1407646324	0.02895509809	7.692056418e-05	0.002670242442	0.001769172976	0.06114085987	0.0192411297	0	0	0	0	0	6.561426757	2.140984673	2.904802191	0.329153448	0.269020621	0.423521925
"sample107"	"sample107"	"SR2"	"Shanghai"	25	"Resistant starch"	0.09146388134	0.05670628592	0.000198075849	5.659309972e-05	0.02866440501	0.2671665916	0.01637427019	8.488964958e-05	0.2436521587	0.0308715359	6.602528301e-05	0.001697792992	0.001254480377	0.006753443234	0.1493303258	4.716091644e-05	0	0	0	0	4.032209661	1.52916969	2.341699071	0.260936688	0.208057167	0.312017277
"sample108"	"sample108"	"SR3"	"Shanghai"	25	"Resistant starch"	0.1275912183	0.08218353341	0	0.0001207249848	0.04002033247	0.2025010714	0.01637332607	0	0.1549957899	0.0254729718	0	0.005417533694	0.001629787295	0.01166505166	0.2097445705	0	0	0	0	0	7.129523163	1.826753071	4.203492747	0.264089323	0.206458968	0.472080935
"sample109"	"sample109"	"SR4"	"Shanghai"	25	"Resistant starch"	0.1120657242	0.1080869843	0.0002288093281	0.0001906744401	0.04677879596	0.40124258	0.05060499639	7.626977603e-05	0.2631561506	0.03536375282	0	0.01225401068	0.006940549618	0.0116565641	0.1718993635	0.000114404664	0	0	0	0	9.963259297	3.424424635	5.682620114	0.488168245	0.299133593	0.6117985
"sample11"	"sample11"	"SC1"	"Shanghai"	1	"Control"	0.0002890648049	0.0006012547942	8.671944147e-05	4.046907269e-05	0.05078868622	0.211982784	0.005544262958	5.781296098e-05	0.1965640673	0.01226791032	0	0.01832670863	0.0008498505264	0.007058962536	0	8.093814537e-05	0	0	6.359425708e-05	0	3.334032292	1.022602688	0.695120063	0.116129416	0.096846912	0.203373968
"sample110"	"sample110"	"SR5"	"Shanghai"	25	"Resistant starch"	0.1326060125	0.07674399475	0	0.0002807136569	0.02411018409	0.1998057429	0.04226300057	0.0001247616253	0.2665376172	0.06035343623	0.0001091664221	0.03697622669	0.005021655418	0.02627791733	0.2273156813	0.0001403568284	0	0	0	0	6.54672592	1.829929519	3.701260329	0.216943558	0.161769089	0.408245599
"sample111"	"sample111"	"SI1"	"Shanghai"	25	"Inulin"	0.7258119911	0.1438219875	0	0.4974318605	0.2225456017	0.1688611319	0.2413079497	0	0.009780915767	0.07013341862	0.0002381440361	0.001462884793	0.00995101865	0.001667008253	0.003708242847	0.0001360823063	0	0	0	0	9.462275293	5.926474708	3.442438075	0.127661609	0.077586168	0.353638557
"sample112"	"sample112"	"SI2"	"Shanghai"	25	"Inulin"	1.21143842	0.1294625779	0.0003601184365	0.3859749402	0.2331766876	0.3449574503	0.192087174	0.0002160710619	0.005833918671	0.0813507548	0	0.002592852743	0.0235157339	0.006049989733	0.003637196208	0	0	0	0	0	8.043746032	5.781749636	2.392897908	0.163821587	0.117563417	0.223279668
"sample113"	"sample113"	"SI3"	"Shanghai"	25	"Inulin"	0.5507241607	0.1394189942	0.0001753898601	0.364842798	0.1474709833	0.1267430907	0.07849493465	6.377813094e-05	0.004384746502	0.03471124776	0	0.0008610047677	0.08968799663	0.002551125238	0.002168456452	0.0001116117291	0	0	0	0	8.892579697	6.800795945	4.202928182	0.100506767	0.052180138	0.316172162
"sample114"	"sample114"	"SI4"	"Shanghai"	25	"Inulin"	1.543496796	0.08986963939	0.0003630048908	0.2669900972	0.2117614959	0.1612001004	0.00640444343	0.0002074313662	0.004926494946	0.2040087486	0.0003111470492	0.00775274731	0.2522624702	0.01462391131	0.002722536681	0.0001296446038	0	0	0	0	7.618579932	5.297691781	2.063559773	0.130372452	0.090016367	0.242295642
"sample115"	"sample115"	"SI5"	"Shanghai"	25	"Inulin"	0.5632990978	0.07499284701	9.745659131e-05	0.2956102056	0.1737651023	0.1335277122	0.1368412363	8.527451739e-05	0.002338958191	0.04253980211	7.309244348e-05	0.0009623838392	0.01399720293	0.0008161989522	0.00230241197	0	0	0.0001705490348	0	0	8.540466251	6.220653514	2.608122466	0.236302564	0.142651985	0.349566448
"sample116"	"sample116"	"SC1"	"Shanghai"	31	"Control"	0.09741835107	0.006635916935	0.0001545232922	0.0001201847828	0.00406911336	0.002575388203	0.01952144257	8.584627342e-05	0.002652649849	0.04022756372	0	0.1747915973	0.004352406062	0.03697398996	0.001261940219	0	0	0	0	0	2.066009762	0.856856711	0.582643716	0.082034062	0.06845048	0.079091881
"sample117"	"sample117"	"SC2"	"Shanghai"	31	"Control"	0.08370087934	0.01961407092	6.929078533e-05	0.0001051308467	0.02426850023	0.004647261292	0.003483653966	5.973343563e-05	0.002972335757	0.005514590777	1.194668713e-05	0.01579829905	0.001608024087	0.002396505437	0.0003297285647	1.194668713e-05	0	0	0	0	8.930080024	2.009960309	1.537789809	0.29584136	0.221425566	0.344442011
"sample118"	"sample118"	"SC3"	"Shanghai"	31	"Control"	0.1557322794	0.03729116916	0.0001815434925	0.0002189200939	0.0276853826	0.01315122417	0.01052418305	4.271611587e-05	0.009627144615	0.0107644612	4.271611587e-05	0.02507969953	0.00233336783	0.007437943676	0.0008009271726	1.601854345e-05	0	0	0	0	3.125989195	0.932184397	0.395970006	0.08839821	0.074655464	0.049744328
"sample119"	"sample119"	"SC4"	"Shanghai"	31	"Control"	0.2183092566	0.01541993788	0.000227277996	0.0002185365346	0.01468565513	0.01641646448	0.02167008277	4.370730693e-05	0.01584826949	0.04531573582	0.0001048975366	0.1090759552	0.002316487267	0.04158313181	0.002054243426	6.993169108e-05	0	0.0001486048436	0	0	17.16393787	2.544231982	2.215811505	0.366637479	0.203359511	0.194941723
"sample12"	"sample12"	"SC2"	"Shanghai"	1	"Control"	0.0006129012151	0.0006064496234	9.032228433e-05	0.0001161286513	0.008774164764	0.1451479109	0.01930961407	4.516114217e-05	0.2047735218	0.02143218775	0	0.05119338044	0.0004580630134	0.007451588457	0	5.806432564e-05	0	0	4.516114217e-05	0	3.448878644	0.683207493	0.503917278	0.065897105	0.060060298	0.125478824
"sample120"	"sample120"	"SC5"	"Shanghai"	31	"Control"	0.1025417388	0.02598437277	0.0001664983668	0.0001239881455	0.008668542628	0.008183217601	0.002777334459	7.085036884e-05	0.005735337358	0.004077438727	1.771259221e-05	0.013543048	0.0007828965757	0.002366402319	0.0001983810328	0	0	0	0	0	6.476267299	1.295004945	0.608208104	0.153412891	0.109383436	0.081752504
"sample121"	"sample121"	"SR1"	"Shanghai"	31	"Resistant starch"	0.1718104587	0.03214320605	5.022375946e-05	0.0001707607822	0.01651859449	0.1052288208	0.0205666295	7.533563919e-05	0.006684782384	0.02099855383	0	0.006534111106	0.0009994528132	0.04344355193	0.001034609445	0	0	7.031326324e-05	0	0	7.360833855	1.745657576	3.090177435	0.169451125	0.092742833	0.30926841
"sample122"	"sample122"	"SR2"	"Shanghai"	31	"Resistant starch"	0.1853148436	0.01686181596	0	9.174002157e-05	0.01973633664	0.1500989073	0.005467705285	6.116001438e-05	0.000837892197	0.01821345228	4.89280115e-05	0.0004097720963	0.01037885444	0.006073189428	0.08062724696	5.504401294e-05	0	0	0	0	7.927843516	1.691952335	4.236471583	0.160560177	0.092679517	0.347129558
"sample123"	"sample123"	"SR3"	"Shanghai"	31	"Resistant starch"	0.2389875989	0.01893493455	0	0.0002051773094	0.02402040072	0.1172148658	0.02875413436	0	0.002740582633	0.05895916541	0.0001172441768	0.004616489462	0.002212983837	0.04573988447	0.3260560557	2.93110442e-05	0	0	0	0	8.273435288	1.564550567	3.139692487	0.154785501	0.083823416	0.35798066
