Subject	Regulate	Score	Group
Subject1	Microbe1	0.0372081916484761	Microbe
Subject2	Microbe1	0.03637154596766121	Microbe
Subject3	Microbe1	0.04841779061923964	Microbe
Subject4	Microbe1	0.043381080917654066	Microbe
Subject5	Microbe1	0.04082956137403163	Microbe
Subject6	Microbe1	0.03521285331059288	Microbe
Subject7	Microbe1	0.04269634821934276	Microbe
Subject8	Microbe1	0.04557532006195214	Microbe
Subject9	Microbe1	0.04862742952489744	Microbe
Subject10	Microbe1	0.041737433826229776	Microbe
Subject11	Microbe1	0.04242845975702679	Microbe
Subject12	Microbe1	0.040483438148509375	Microbe
Subject13	Microbe1	0.04926534137075406	Microbe
Subject14	Microbe1	0.050140546416872975	Microbe
Subject15	Microbe1	0.04905659079907629	Microbe
Subject16	Microbe1	0.0511954612394245	Microbe
Subject17	Microbe1	0.051033112494391374	Microbe
Subject1	Microbe2	0.05002439607246292	Microbe
Subject2	Microbe2	0.04460868916827105	Microbe
Subject3	Microbe2	0.05213000966658768	Microbe
Subject4	Microbe2	0.05183126165957391	Microbe
Subject5	Microbe2	0.051405746314313994	Microbe
Subject6	Microbe2	0.05111753616829002	Microbe
Subject7	Microbe2	0.05132345044415697	Microbe
Subject8	Microbe2	0.0509199303124061	Microbe
Subject9	Microbe2	0.051363503317411664	Microbe
Subject10	Microbe2	0.050598119336134825	Microbe
Subject11	Microbe2	0.05123562140138381	Microbe
Subject12	Microbe2	0.05091972431157679	Microbe
Subject13	Microbe2	0.04496105952803329	Microbe
Subject14	Microbe2	0.04881948267226549	Microbe
Subject15	Microbe2	0.04531297351553148	Microbe
Subject16	Microbe2	0.05224315144514412	Microbe
Subject17	Microbe2	0.05161437193927737	Microbe
Subject1	Microbe3	0.05100613481079803	Microbe
Subject2	Microbe3	0.050833539390050454	Microbe
Subject3	Microbe3	0.052114914343629005	Microbe
Subject4	Microbe3	0.05180590726672514	Microbe
Subject5	Microbe3	0.05167991499222275	Microbe
Subject6	Microbe3	0.051419579402286024	Microbe
Subject7	Microbe3	0.05143572542934918	Microbe
Subject8	Microbe3	0.04501782158715862	Microbe
Subject9	Microbe3	0.04454257028418347	Microbe
Subject10	Microbe3	0.04163117984255866	Microbe
Subject11	Microbe3	0.04469013682104735	Microbe
Subject12	Microbe3	0.049602600829766204	Microbe
Subject13	Microbe3	0.0516104239212245	Microbe
Subject14	Microbe3	0.05191340045137057	Microbe
Subject15	Microbe3	0.05141517469124211	Microbe
Subject16	Microbe3	0.05270926353217987	Microbe
Subject17	Microbe3	0.05218792142808448	Microbe
Subject1	Microbe4	0.051855475719198116	Microbe
Subject2	Microbe4	0.05204445193370266	Microbe
Subject3	Microbe4	0.05205843912332012	Microbe
Subject4	Microbe4	0.05188006277590961	Microbe
Subject5	Microbe4	0.05171627313177206	Microbe
Subject6	Microbe4	0.05144083048591053	Microbe
Subject7	Microbe4	0.051463246971040585	Microbe
Subject8	Microbe4	0.04765462825714977	Microbe
Subject9	Microbe4	0.049593606478184206	Microbe
Subject10	Microbe4	0.051352833190033975	Microbe
Subject11	Microbe4	0.05166859197379954	Microbe
Subject12	Microbe4	0.050852292486279926	Microbe
Subject13	Microbe4	0.05162126930419584	Microbe
Subject14	Microbe4	0.05191323379260468	Microbe
Subject15	Microbe4	0.0514158996750419	Microbe
Subject16	Microbe4	0.05271105020658439	Microbe
Subject17	Microbe4	0.052192145271512884	Microbe
Subject1	Microbe5	0.05123756230447038	Microbe
Subject2	Microbe5	0.05086513878677386	Microbe
Subject3	Microbe5	0.05216442191902699	Microbe
Subject4	Microbe5	0.051852694927150125	Microbe
Subject5	Microbe5	0.051661276561108076	Microbe
Subject6	Microbe5	0.051335861764980346	Microbe
Subject7	Microbe5	0.05127571273166136	Microbe
Subject8	Microbe5	0.050630971175487385	Microbe
Subject9	Microbe5	0.050963663640972774	Microbe
Subject10	Microbe5	0.050225568256021265	Microbe
Subject11	Microbe5	0.050958386533720104	Microbe
Subject12	Microbe5	0.05118338101123073	Microbe
Subject13	Microbe5	0.04899044569257693	Microbe
Subject14	Microbe5	0.05189285166396199	Microbe
Subject15	Microbe5	0.051113458397663535	Microbe
Subject16	Microbe5	0.052471888201009495	Microbe
Subject17	Microbe5	0.052293005666610215	Microbe
Subject1	Microbe6	0.04563389737529182	Microbe
Subject2	Microbe6	0.049997607911273584	Microbe
Subject3	Microbe6	0.051439992105357046	Microbe
Subject4	Microbe6	0.05305871005207898	Microbe
Subject5	Microbe6	0.05178846484708123	Microbe
Subject6	Microbe6	0.051078738173586546	Microbe
Subject7	Microbe6	0.05145198796633935	Microbe
Subject8	Microbe6	0.05114191579659417	Microbe
Subject9	Microbe6	0.04851335134658162	Microbe
Subject10	Microbe6	0.05003136354377229	Microbe
Subject11	Microbe6	0.04716140207408617	Microbe
Subject12	Microbe6	0.0489095817780083	Microbe
Subject13	Microbe6	0.04281842453180887	Microbe
