Subject	Regulate	Score	Group
Subject1	Microbe1	0.017061477895818956	Microbe
Subject2	Microbe1	0.016048651199978045	Microbe
Subject3	Microbe1	0.027545433084724152	Microbe
Subject4	Microbe1	0.018213324150346846	Microbe
Subject5	Microbe1	0.016975521447447836	Microbe
Subject6	Microbe1	0.020394122043145994	Microbe
Subject7	Microbe1	0.015116026252224293	Microbe
Subject8	Microbe1	0.029270218830766	Microbe
Subject9	Microbe1	0.04092390445757428	Microbe
Subject10	Microbe1	0.0456993895233307	Microbe
Subject11	Microbe1	0.04043075802174537	Microbe
Subject1	Microbe2	0.050521459284796934	Microbe
Subject2	Microbe2	0.05032046316486029	Microbe
Subject3	Microbe2	0.052799848222532544	Microbe
Subject4	Microbe2	0.05173980676682536	Microbe
Subject5	Microbe2	0.05180203272414119	Microbe
Subject6	Microbe2	0.05165839331448094	Microbe
Subject7	Microbe2	0.05135845369599839	Microbe
Subject8	Microbe2	0.05089894406572729	Microbe
Subject9	Microbe2	0.05396948479486596	Microbe
Subject10	Microbe2	0.05108348117222486	Microbe
Subject11	Microbe2	0.05106669594727178	Microbe
Subject1	Microbe3	0.05120753735239256	Microbe
Subject2	Microbe3	0.051795648644743404	Microbe
Subject3	Microbe3	0.05024847784738374	Microbe
Subject4	Microbe3	0.05014251337999924	Microbe
Subject5	Microbe3	0.051212485095821006	Microbe
Subject6	Microbe3	0.050152397715786494	Microbe
Subject7	Microbe3	0.0516551631732642	Microbe
Subject8	Microbe3	0.048683045511713714	Microbe
Subject9	Microbe3	0.048623965497262736	Microbe
Subject10	Microbe3	0.04341263129097835	Microbe
Subject11	Microbe3	0.04655316964774107	Microbe
Subject1	Microbe4	0.051828488961796426	Microbe
Subject2	Microbe4	0.05189635152842399	Microbe
Subject3	Microbe4	0.05439673380773478	Microbe
Subject4	Microbe4	0.05158183385733303	Microbe
Subject5	Microbe4	0.05141734468010588	Microbe
Subject6	Microbe4	0.05135591543009291	Microbe
Subject7	Microbe4	0.051810223322882404	Microbe
Subject8	Microbe4	0.04791955768275998	Microbe
Subject9	Microbe4	0.04891685867999373	Microbe
Subject10	Microbe4	0.04703578932071644	Microbe
Subject11	Microbe4	0.04797099210947938	Microbe
Subject1	Microbe5	0.05145950701267746	Microbe
Subject2	Microbe5	0.05150711163132416	Microbe
Subject3	Microbe5	0.0534302303706782	Microbe
Subject4	Microbe5	0.05172223221075863	Microbe
Subject5	Microbe5	0.05177432345679657	Microbe
Subject6	Microbe5	0.051681150662307336	Microbe
Subject7	Microbe5	0.05146877190695088	Microbe
Subject8	Microbe5	0.051247664371399895	Microbe
Subject9	Microbe5	0.05401352398446274	Microbe
Subject10	Microbe5	0.05099984431997784	Microbe
Subject11	Microbe5	0.05129752998603962	Microbe
Subject1	Microbe6	0.05187449769540359	Microbe
Subject2	Microbe6	0.051915619450565886	Microbe
Subject3	Microbe6	0.054403640474194236	Microbe
Subject4	Microbe6	0.05165316816212902	Microbe
Subject5	Microbe6	0.05183579034585295	Microbe
Subject6	Microbe6	0.05162609610115187	Microbe
Subject7	Microbe6	0.05194329405765761	Microbe
Subject8	Microbe6	0.0515356233254285	Microbe
Subject9	Microbe6	0.05413273777678108	Microbe
Subject10	Microbe6	0.051334149473951464	Microbe
Subject11	Microbe6	0.051306217019317965	Microbe
Subject1	Microbe7	0.051867731247942916	Microbe
Subject2	Microbe7	0.05190662767474661	Microbe
Subject3	Microbe7	0.05441095379530319	Microbe
Subject4	Microbe7	0.05175927676064638	Microbe
Subject5	Microbe7	0.05156550158569394	Microbe
Subject6	Microbe7	0.05152052067534906	Microbe
Subject7	Microbe7	0.05186174757115183	Microbe
Subject8	Microbe7	0.05143341549253425	Microbe
Subject9	Microbe7	0.05413607796743745	Microbe
Subject10	Microbe7	0.051386207044070535	Microbe
Subject11	Microbe7	0.05120645087225616	Microbe
Subject1	Microbe8	0.05167231643944956	Microbe
Subject2	Microbe8	0.0516934572969615	Microbe
Subject3	Microbe8		Microbe
Subject4	Microbe8	0.0515740428829546	Microbe
Subject5	Microbe8	0.051527264097989356	Microbe
Subject6	Microbe8	0.052207967016824015	Microbe
Subject7	Microbe8	0.051856429619872045	Microbe
Subject8	Microbe8	0.05151926914618113	Microbe
Subject9	Microbe8		Microbe
Subject10	Microbe8	0.05130234133187884	Microbe
Subject11	Microbe8	0.05123107093022492	Microbe
Subject1	Microbe9	0.05188184058394821	Microbe
Subject2	Microbe9	0.05191844705515336	Microbe
Subject3	Microbe9	0.05440390120880473	Microbe
Subject4	Microbe9	0.05183905930105137	Microbe
Subject5	Microbe9	0.05188159127562892	Microbe
