Subject	Regulate	Score	Group
Subject1	Microbe1	0.027706744197902516	Microbe
Subject2	Microbe1	0.027031177318575954	Microbe
Subject3	Microbe1	0.025667548310131325	Microbe
Subject4	Microbe1	0.032522217332015095	Microbe
Subject5	Microbe1	0.02744678256767509	Microbe
Subject6	Microbe1	0.026355476076153125	Microbe
Subject7	Microbe1	0.0389742396956075	Microbe
Subject8	Microbe1	0.028673836521106555	Microbe
Subject9	Microbe1	0.03035848643737555	Microbe
Subject10	Microbe1	0.03915598801692314	Microbe
Subject11	Microbe1	0.03363454173927592	Microbe
Subject12	Microbe1	0.031921683111610796	Microbe
Subject13	Microbe1	0.035059998301335125	Microbe
Subject14	Microbe1	0.04264607034402877	Microbe
Subject15	Microbe1	0.048564837552463484	Microbe
Subject16	Microbe1	0.04947175334214073	Microbe
Subject17	Microbe1	0.048483381202015875	Microbe
Subject18	Microbe1	0.048970959828868336	Microbe
Subject19	Microbe1	0.04877932704339946	Microbe
Subject1	Microbe2	0.23959545389453066	Microbe
Subject2	Microbe2	0.04259861556440184	Microbe
Subject3	Microbe2	0.04459493401410089	Microbe
Subject4	Microbe2	0.06639638654534384	Microbe
Subject5	Microbe2	0.05084950135743826	Microbe
Subject6	Microbe2	0.05146402521148134	Microbe
Subject7	Microbe2	0.05081867905939853	Microbe
Subject8	Microbe2	0.05014552081786313	Microbe
Subject9	Microbe2	0.05028834292249652	Microbe
Subject10	Microbe2	0.04887171857550959	Microbe
Subject11	Microbe2	0.05096552438603612	Microbe
Subject12	Microbe2	0.05115784275238516	Microbe
Subject13	Microbe2	0.04990847139191998	Microbe
Subject14	Microbe2	0.049644194132353416	Microbe
Subject15	Microbe2	0.04526382396238463	Microbe
Subject16	Microbe2	0.04806479516833267	Microbe
Subject17	Microbe2	0.04653145996016838	Microbe
Subject18	Microbe2	0.04918289248102244	Microbe
Subject19	Microbe2	0.04790729842989525	Microbe
Subject1	Microbe3	0.04117333846355782	Microbe
Subject2	Microbe3	0.05231778264013488	Microbe
Subject3	Microbe3	0.05181747050772159	Microbe
Subject4	Microbe3	0.04892360851394755	Microbe
Subject5	Microbe3	0.05148756241885892	Microbe
Subject6	Microbe3	0.05156738915622986	Microbe
Subject7	Microbe3	0.05063262058209193	Microbe
Subject8	Microbe3	0.050803797498655566	Microbe
Subject9	Microbe3	0.051167520564080735	Microbe
Subject10	Microbe3	0.04726589247638112	Microbe
Subject11	Microbe3	0.0480010031380589	Microbe
Subject12	Microbe3	0.04826386761685436	Microbe
Subject13	Microbe3	0.04765194071169494	Microbe
Subject14	Microbe3	0.04860643499680365	Microbe
Subject15	Microbe3	0.05138031460783764	Microbe
Subject16	Microbe3	0.05139480463637171	Microbe
Subject17	Microbe3	0.05135179860249148	Microbe
Subject18	Microbe3	0.05139343887181141	Microbe
Subject19	Microbe3	0.05135035433556925	Microbe
Subject1	Microbe4	0.04056141007775616	Microbe
Subject2	Microbe4	0.050860984282877844	Microbe
Subject3	Microbe4	0.05154100126799708	Microbe
Subject4	Microbe4	0.050981724347137734	Microbe
Subject5	Microbe4	0.05153794795124787	Microbe
Subject6	Microbe4	0.05155136893262276	Microbe
Subject7	Microbe4	0.05126560107757998	Microbe
Subject8	Microbe4	0.05138042251091461	Microbe
Subject9	Microbe4	0.05001458731176716	Microbe
Subject10	Microbe4	0.04957351240481428	Microbe
Subject11	Microbe4	0.05004288727217527	Microbe
Subject12	Microbe4	0.049869710535208944	Microbe
Subject13	Microbe4	0.04948742882830058	Microbe
Subject14	Microbe4	0.04882150537676894	Microbe
Subject15	Microbe4	0.051380319230658666	Microbe
Subject16	Microbe4	0.05139481699267638	Microbe
Subject17	Microbe4	0.05135179907850218	Microbe
Subject18	Microbe4	0.05139343473913689	Microbe
Subject19	Microbe4	0.05135035313511379	Microbe
Subject1	Microbe5	0.04053610587035034	Microbe
Subject2	Microbe5	0.05141471665292291	Microbe
Subject3	Microbe5	0.05148587900351898	Microbe
Subject4	Microbe5	0.05007595234771919	Microbe
Subject5	Microbe5	0.05152856312066263	Microbe
Subject6	Microbe5	0.05157773608975792	Microbe
Subject7	Microbe5	0.05133977213269601	Microbe
Subject8	Microbe5	0.0515221228346837	Microbe
Subject9	Microbe5	0.05150514580316143	Microbe
Subject10	Microbe5	0.050927158233112974	Microbe
Subject11	Microbe5	0.05135087430927202	Microbe
Subject12	Microbe5	0.05144502202916604	Microbe
Subject13	Microbe5	0.051243867865571543	Microbe
Subject14	Microbe5	0.05095638890808487	Microbe
Subject15	Microbe5	0.05086448211133395	Microbe
Subject16	Microbe5	0.051254286399518824	Microbe
Subject17	Microbe5	0.05108508236404076	Microbe
Subject18	Microbe5	0.05128134338138907	Microbe
Subject19	Microbe5	0.05109002980312449	Microbe
Subject1	Microbe6	0.04084567070510016	Microbe
Subject2	Microbe6	0.05169292356376713	Microbe
Subject3	Microbe6	0.0518393143027362	Microbe
Subject4	Microbe6	0.05001003848485958	Microbe
Subject5	Microbe6	0.05118630222966761	Microbe
Subject6	Microbe6	0.05077537717960869	Microbe
Subject7	Microbe6	0.048984681761781834	Microbe
Subject8	Microbe6	0.0515219467641666	Microbe
Subject9	Microbe6	0.05149863136440793	Microbe
Subject10	Microbe6	0.05138580500642932	Microbe
Subject11	Microbe6	0.05145533679248935	Microbe
Subject12	Microbe6	0.0514885305257154	Microbe
Subject13	Microbe6	0.051454432194517466	Microbe
Subject14	Microbe6	0.05141361312774614	Microbe
Subject15	Microbe6	0.042683275330570536	Microbe
Subject16	Microbe6	0.04166500757240097	Microbe
Subject17	Microbe6	0.04559174393004735	Microbe
Subject18	Microbe6	0.03802866763537775	Microbe
Subject19	Microbe6	0.04643886693415643	Microbe
Subject1	Microbe7	0.03933506573256955	Microbe
Subject2	Microbe7	0.05125479549473757	Microbe
Subject3	Microbe7	0.05166526511958115	Microbe
Subject4	Microbe7	0.05129173145239656	Microbe
Subject5	Microbe7	0.05104176505015265	Microbe
Subject6	Microbe7	0.051228505607295055	Microbe
Subject7	Microbe7	0.05096482672080729	Microbe
Subject8	Microbe7	0.05131704096355965	Microbe
Subject9	Microbe7	0.05067674086533337	Microbe
Subject10	Microbe7	0.04594868058926477	Microbe
Subject11	Microbe7	0.04693361430184648	Microbe
Subject12	Microbe7	0.04741893290329498	Microbe
Subject13	Microbe7	0.04799747871610032	Microbe
Subject14	Microbe7	0.04286405316096932	Microbe
Subject15	Microbe7	0.05130919816315726	Microbe
Subject16	Microbe7	0.05137626700285555	Microbe
Subject17	Microbe7	0.051283694883984626	Microbe
Subject18	Microbe7	0.051162341108798554	Microbe
Subject19	Microbe7	0.05127594458067166	Microbe
Subject1	Microbe8	0.04122548734632855	Microbe
Subject2	Microbe8	0.053773496092048505	Microbe
Subject3	Microbe8	0.05196024896698102	Microbe
Subject4	Microbe8	0.04736375414449815	Microbe
Subject5	Microbe8	0.05129862057333226	Microbe
Subject6	Microbe8	0.05113881977196604	Microbe
Subject7	Microbe8	0.049238508416952084	Microbe
Subject8	Microbe8	0.050442841087293	Microbe
Subject9	Microbe8	0.051372864625924754	Microbe
Subject10	Microbe8	0.0512057118063664	Microbe
Subject11	Microbe8	0.051301700363323696	Microbe
Subject12	Microbe8	0.05134819156474478	Microbe
