Community	Subject	Time	Prevotella copri	Parabacteroides johnsonii	Bacteroides vulgatus	Bacteroides fragilis	Bacteroides ovatus	Bacteroides thetaiotaomicron	Bacteroides caccae	Bacteroides cellulosilyticus	Bacteroides uniformis	Desulfovibrio piger	Bifidobacterium longum	Bifidobacterium adolescentis	Bifidobacterium pseudocatenulatum	Collinsella aerofaciens	Eggerthella lenta	Faecalibacterium prausnitzii	Clostridium hiranonis	Anaerostipes caccae	Blautia hydrogenotrophica	Clostridium asparagiforme	Eubacterium rectale	Roseburia intestinalis	Coprococcus comes	Dorea longicatena	Dorea formicigenerans	Butyrate	Acetate	Lactate	Succinate
PC-BV-BT-BC-BP-EL-FP-CH-AC-BH-CG-ER-RI-DF	subject1	16	0.465116124553749	0	0.0292066640222134	0	0	0.249716977389925	0.500650899114108	0	0	0	0	0	0.0425930516990612	0	0.000973555467407114	0.00121694433425889	0.0610906055797964	0.351453523733968	0.000973555467407114	0.0243388866851778	0.327601414782494	0.00146033320111067	0	0	0.39282963109877	23.09269672	47.84930212	18.9108516	26.14188487
PC-BV-BT-BC-BP-EL-FP-CH-AC-BH-CG-ER-RI-DF	subject1	32	0.10452327203551	0	0.0279281758613401	0	0	0.220107207778482	0.380210314943986	0	0	0	0	0	0.0251630099344747	0	0.00276516592686536	0.000829549778059607	0.121667300782076	0.700969562460368	0.00110606637074614	0.0207387444514902	0.293384104840414	0.000829549778059607	0	0	0.280111308391461	23.99626736	38.91521816	17.97713735	26.88474829
PC-BV-BT-BC-BP-EL-FP-CH-AC-BH-CG-ER-RI-DF	subject1	48	0.124851957798899	0	0.0121939958783181	0	0	0.268267909322998	0.33396988711513	0	0	0	0	0	0.013649995386177	0	0.00163799944634124	0.00109199963089416	0.170897942234936	0.605695795269293	0.000545999815447079	0.0236599920027068	0.18818793639076	0.00236599920027068	0	0	0.224951923964197	24.8392188	34.32591404	19.40697135	31.6280605
BV-BF-BO-BT-BU-DP-BL-BA-BP-EL-FP-CH-AC-BH-CG-ER-RI	subject2	16	0	0	0.00741296767505419	0.179219394967487	0.196516319542613	0.171661074985078	0	0	0.0597397983224955	0.00450592152797412	0.0162794584236484	0.189248704174913	0.203783934910313	0	0.00276169383972607	0.000290704614708007	0.0780541890491	0.0715133352181698	0.000436056922062011	0.0162794584236484	0.341141865359847	0.00145352307354004	0	0	0	15.42877712	48.66637932	38.993601	13.71602896
BV-BF-BO-BT-BU-DP-BL-BA-BP-EL-FP-CH-AC-BH-CG-ER-RI	subject2	32	0	0	0.0053505549177191	0.136180252583238	0.178121699196326	0.170872560275545	0	0	0.0491905855338691	0.00500535782625335	0.016396861844623	0.104076923076923	0.20660045924225	0	0.00362456946039036	0.00086299272866437	0.106148105625718	0.270634519709147	0.000172598545732874	0.017777650210486	0.22938346727899	0.00172598545732874	0	0	0	15.86674792	48.0247582	42.64385516	13.20005168
BV-BF-BO-BT-BU-DP-BL-BA-BP-EL-FP-CH-AC-BH-CG-ER-RI	subject2	48	0	0	0.00737077603008592	0.1692598204727	0.238277086936232	0.258513217491559	0	0	0.0406062752202915	0.00227823986384474	0.00335035274094815	0.0166177495951028	0.0997064975706168	0	0.00254626808312059	0.000268028219275852	0.134148123747564	0.372559224793434	0.000536056438551703	0.0339055697383952	0.244575750089215	0.000804084657827555	0	0	0	17.3248908	44.27463468	41.00652828	16.93067403
PJ-BO-BT-BC-BY-BA-CA-EL-FP-CH-AC-BH-CG-CC-DF	subject3	16	0	0.0211990675990676	0	0	0.248710489510489	0.244735664335664	0.479818181818182	0.121705361305361	0	0	0	0.21388344988345	0	0.0800643356643357	0.000757109557109557	0.000757109557109557	0.0497799533799534	0.225240093240093	0.00113566433566434	0.0113566433566434	0	0	0.0272559440559441	0	0.433634498834499	25.93951568	45.5942904	16.28175639	18.88419378
PJ-BO-BT-BC-BY-BA-CA-EL-FP-CH-AC-BH-CG-CC-DF	subject3	32	0	0.0110711014702338	0	0	0.182515015666426	0.167331790792962	0.330551458182695	0.109445745962883	0	0	0	0.0822424680645939	0	0.122414750542299	0.0028468546637744	0.00759161243673174	0.240084743311641	0.432405591708846	0.000948951554591468	0.00727529525186792	0	0	0.0278359122680164	0	0.456445697758496	38.4729616	27.97758904	4.0760085	25.74488125
PJ-BO-BT-BC-BY-BA-CA-EL-FP-CH-AC-BH-CG-CC-DF	subject3	48	0	0.00799584631360332	0	0	0.18977896454532	0.159590565198042	0.230410918261386	0.0771843940068239	0	0	0	0.0752262275626761	0	0.163343717549325	0.00489541611036938	0.00652722148049251	0.17851950749147	0.379721109627652	0.000815902685061564	0.0122385402759235	0	0	0.0326361074024625	0	0.310043020323394	36.28373248	25.3736194	7.06094836	29.30599309
PC-PJ-BF-BO-BU-DP-BA-EL-CH-BH-CG	subject4	16	0.131269134445055	0.0207973245372916	0	0.283223779854621	0.234696689267607	0	0	0	0.154190916865188	0.0129703744426119	0	0.184156954370533	0	0	0.00436072933846436	0	0.156427188320811	0	0.00212445788284161	0.0328731903976544	0	0	0	0	0	0.42151304	44.91579088	41.56161848	12.15813301
PC-PJ-BF-BO-BU-DP-BA-EL-CH-BH-CG	subject4	32	0.145062238757981	0.0246431032106931	0	0.220389738643149	0.205359193422443	0	0	0	0.109408387304212	0.00664140370217261	0	0.159568462633779	0	0	0.00332070185108631	0	0.35461600293969	0	0.00122341647145285	0.0365277203619494	0	0	0	0	0	1.00029792	52.66086164	40.3873738	14.24384781
PC-PJ-BF-BO-BU-DP-BA-EL-CH-BH-CG	subject4	48	0.20420337960169	0.0254705290685979	0	0.282151981492657	0.327823274994971	0	0	0	0.0894762120297727	0.00537955139810903	0	0.0946361899014283	0	0	0.00318381613357473	0	0.363723546570107	0	0.00142722792194729	0.0551129551398109	0	0	0	0	0	1.23614632	53.4985608	41.10292892	19.31841484
PC-PJ-BV-BF-BT-BL-CA-EL-FP-CH-BH-CC-DF	subject5	16	0.205954434722937	0.0200209298335907	0.0672006862240521	0.359854451878538	0	0.372041104820724	0	0	0	0	0.0299443472293704	0	0	0.141365174129353	0.00330780579859324	0.0022632355464059	0.127785760850918	0	0.00417828100874936	0	0	0	0.022632355464059	0	0.331476960027449	0.70015112	45.05353328	33.23503546	23.18611439
