Subject	Regulate	Score	Group
Subject1	Microbe1	0.040047915801676146	Microbe
Subject2	Microbe1	0.039364224071400666	Microbe
Subject3	Microbe1	0.04104140243047205	Microbe
Subject4	Microbe1	0.040535835350081505	Microbe
Subject5	Microbe1	0.04104214042551238	Microbe
Subject6	Microbe1	0.04101473418935887	Microbe
Subject7	Microbe1	0.040903080261941664	Microbe
Subject8	Microbe1	0.04087938244424006	Microbe
Subject9	Microbe1	0.04087840822501812	Microbe
Subject10	Microbe1	0.04100502759315964	Microbe
Subject11	Microbe1	0.04087772491448692	Microbe
Subject12	Microbe1	0.04091433070194123	Microbe
Subject13	Microbe1	0.03179512362961065	Microbe
Subject14	Microbe1	0.041770975920527864	Microbe
Subject15	Microbe1	0.040943289266065795	Microbe
Subject16	Microbe1	0.03977406129269598	Microbe
Subject17	Microbe1	0.04097994891008173	Microbe
Subject18	Microbe1	0.04074412871706872	Microbe
Subject19	Microbe1	0.04103919850675496	Microbe
Subject20	Microbe1	0.04055889935327291	Microbe
Subject21	Microbe1	0.03958108881935908	Microbe
Subject22	Microbe1	0.04138467248369214	Microbe
Subject23	Microbe1	0.040852022519598734	Microbe
Subject24	Microbe1	0.04105366924532595	Microbe
Subject25	Microbe1	0.040995490557997276	Microbe
Subject26	Microbe1	0.04059157914631558	Microbe
Subject27	Microbe1	0.03992506207746138	Microbe
Subject28	Microbe1	0.040914207736060484	Microbe
Subject29	Microbe1	0.03934933005714972	Microbe
Subject30	Microbe1	0.0403789385766806	Microbe
Subject31	Microbe1	0.040884394057334586	Microbe
Subject32	Microbe1	0.04091854807180885	Microbe
Subject33	Microbe1	0.04090094038995171	Microbe
Subject34	Microbe1	0.03848247865165107	Microbe
Subject35	Microbe1	0.04072540225376933	Microbe
Subject36	Microbe1	0.04037901423447973	Microbe
Subject37	Microbe1	0.04078217540549878	Microbe
Subject38	Microbe1	0.03948302124714772	Microbe
Subject39	Microbe1	0.040963811418676145	Microbe
Subject40	Microbe1	0.040963070195954326	Microbe
Subject41	Microbe1	0.04117637910829968	Microbe
Subject42	Microbe1	0.040900838095113294	Microbe
Subject43	Microbe1	0.04009065543810282	Microbe
Subject44	Microbe1	0.04093749318498119	Microbe
Subject45	Microbe1	0.03962974769973174	Microbe
Subject46	Microbe1	0.040307518128253436	Microbe
Subject47	Microbe1	0.04100379854013415	Microbe
Subject48	Microbe1	0.040945075431701713	Microbe
Subject49	Microbe1	0.04097881424018556	Microbe
Subject50	Microbe1	0.04093827417116219	Microbe
Subject51	Microbe1	0.03871729259229778	Microbe
Subject52	Microbe1	0.04092324326426629	Microbe
Subject53	Microbe1	0.04098320057884429	Microbe
Subject54	Microbe1	0.040941074620514904	Microbe
Subject55	Microbe1	0.04087677038081213	Microbe
Subject56	Microbe1	0.04092570569331164	Microbe
Subject57	Microbe1	0.04115030433413376	Microbe
Subject58	Microbe1	0.040918375783889446	Microbe
Subject59	Microbe1	0.04066250046094836	Microbe
Subject60	Microbe1	0.04009764616089216	Microbe
Subject61	Microbe1	0.04074604039154682	Microbe
Subject62	Microbe1	0.040970616247579146	Microbe
Subject63	Microbe1	0.04092732754667713	Microbe
Subject64	Microbe1	0.04046131369937379	Microbe
Subject65	Microbe1	0.04076033854428827	Microbe
Subject66	Microbe1	0.037908723583822135	Microbe
Subject67	Microbe1	0.0409874203861002	Microbe
Subject68	Microbe1	0.040779351530955736	Microbe
Subject69	Microbe1	0.039318397114641565	Microbe
Subject70	Microbe1	0.040319293655735444	Microbe
Subject71	Microbe1	0.040901596579432035	Microbe
Subject72	Microbe1	0.03983819869659749	Microbe
Subject73	Microbe1	0.040553518493004835	Microbe
Subject74	Microbe1	0.04093366441532501	Microbe
Subject75	Microbe1	0.03569251037583462	Microbe
Subject76	Microbe1	0.0409221353741799	Microbe
Subject77	Microbe1	0.04067492372879052	Microbe
Subject78	Microbe1	0.0407906447028957	Microbe
Subject79	Microbe1	0.04093862506031843	Microbe
Subject80	Microbe1	0.040817024110392126	Microbe
Subject81	Microbe1	0.04074115552221133	Microbe
Subject82	Microbe1	0.04097322481655548	Microbe
Subject83	Microbe1	0.040968911251037396	Microbe
Subject84	Microbe1	0.03973105964074765	Microbe
Subject85	Microbe1	0.04100046399172467	Microbe
Subject86	Microbe1	0.03899019737800156	Microbe
Subject87	Microbe1	0.041455095532078955	Microbe
Subject88	Microbe1	0.04092948651734737	Microbe
Subject89	Microbe1	0.040887447092988825	Microbe
Subject90	Microbe1	0.04085799087869073	Microbe
Subject91	Microbe1	0.03937229861320304	Microbe
Subject92	Microbe1	0.03887530541863336	Microbe
Subject93	Microbe1	0.04095918263270329	Microbe
Subject94	Microbe1	0.04106539728657131	Microbe
Subject95	Microbe1	0.04056626686430498	Microbe
Subject1	Microbe2	0.04087983812935779	Microbe
